iter	Passed	Remaining
0	1	340
1	2	316
2	3	303
3	4	303
4	5	328
5	6	317
6	7	308
7	8	303
8	9	301
9	10	294
10	11	295
11	12	290
12	12	286
13	13	284
14	15	286
15	15	282
16	16	280
17	17	279
18	18	278
19	19	279
20	21	288
21	22	289
22	23	287
23	24	284
24	25	281
25	26	278
26	27	276
27	28	274
28	29	272
29	29	265
30	30	263
31	31	262
32	32	261
33	33	259
34	34	257
35	35	256
36	36	261
37	37	260
38	38	258
39	39	256
40	40	255
41	41	253
42	42	252
43	43	251
44	44	249
45	45	249
46	45	247
47	46	246
48	47	244
49	48	240
50	48	239
51	50	238
52	51	238
53	52	238
54	53	238
55	54	236
56	55	235
57	56	234
58	57	233
59	59	238
60	61	241
61	62	240
62	64	240
63	65	240
64	66	238
65	67	238
66	68	238
67	69	237
68	70	237
69	72	238
70	73	237
71	74	236
72	75	235
73	76	234
74	77	233
75	79	232
76	80	232
77	81	233
78	83	232
79	84	231
80	85	230
81	86	229
82	87	228
83	88	227
84	89	225
85	90	224
86	91	223
87	92	222
88	93	221
89	94	220
90	95	219
91	96	218
92	97	217
93	98	216
94	99	215
95	100	214
96	101	212
97	102	211
98	103	210
99	104	208
100	105	207
101	106	206
102	107	204
103	107	203
104	108	202
105	110	201
106	111	200
107	112	199
108	113	198
109	114	197
110	115	196
111	116	194
112	116	193
113	117	192
114	118	191
115	119	190
116	120	188
117	121	187
118	122	186
119	123	185
120	124	184
121	125	182
122	126	181
123	127	180
124	128	179
125	129	178
126	130	177
127	131	176
128	131	174
129	132	173
130	133	172
131	134	171
132	135	170
133	136	169
134	137	168
135	138	166
136	139	165
137	140	164
138	141	163
139	141	162
140	142	161
141	143	160
142	145	159
143	146	158
144	147	157
145	147	156
146	149	155
147	149	153
148	150	152
149	151	151
150	152	150
151	153	149
152	154	148
153	155	147
154	156	146
155	157	145
156	158	144
157	159	143
158	160	142
159	161	141
160	162	140
161	163	138
162	164	137
163	165	136
164	165	135
165	166	134
166	169	134
167	170	133
168	170	132
169	172	131
170	173	130
171	173	129
172	174	128
173	176	127
174	177	127
175	178	126
176	180	125
177	181	124
178	182	123
179	183	122
180	184	121
181	185	120
182	186	118
183	186	117
184	187	116
185	188	115
186	189	114
187	190	113
188	191	112
189	192	111
190	193	110
191	194	109
192	195	108
193	196	107
194	197	106
195	198	105
196	199	104
197	200	103
198	201	102
199	202	101
200	203	100
201	203	98
202	204	97
203	205	96
204	206	95
205	207	94
206	208	93
207	209	92
208	210	91
209	211	90
210	212	89
211	213	88
212	214	87
213	215	86
214	216	85
215	217	84
216	218	83
217	219	82
218	220	81
219	220	80
220	221	79
221	222	78
222	223	77
223	224	76
224	226	75
225	227	74
226	228	73
227	229	72
228	230	71
229	231	70
230	232	69
231	232	68
232	233	67
233	234	66
234	235	65
235	236	64
236	237	63
237	238	62
238	239	61
239	240	60
240	241	59
241	242	58
242	243	57
243	244	56
244	245	55
245	246	54
246	247	53
247	248	52
248	249	51
249	250	50
250	251	49
251	251	47
252	252	46
253	253	45
254	254	44
255	255	43
256	256	42
257	257	41
258	258	40
259	259	39
260	260	38
261	261	37
262	262	36
263	262	35
264	263	34
265	264	33
266	265	32
267	266	31
268	267	30
269	269	29
270	270	28
271	271	27
272	272	26
273	273	25
274	274	24
275	276	24
276	276	22
277	277	21
278	278	20
279	279	19
280	280	18
281	281	17
282	282	16
283	283	15
284	284	14
285	285	13
286	286	12
287	286	11
288	287	10
289	288	9
290	290	8
291	290	7
292	291	6
293	292	5
294	293	4
295	294	3
296	295	2
297	296	1
298	297	0
299	298	0
